,0
1231,2
1232,2
1233,1
1234,3
1235,3
1236,1
1237,2
1238,1
1239,4
1240,4
1241,1
1242,2
1243,5
1244,3
1245,2
1246,0
1247,1
1248,1
1249,1
1250,2
1251,1
1252,4
1253,0
1254,1
1255,4
1256,0
1257,2
1258,3
1259,4
1260,0
1261,3
1262,4
1263,3
1264,0
1265,1
1266,4
1267,4
1268,1
1269,5
1270,2
1271,1
1272,2
1273,5
1274,1
1275,4
1276,3
1277,1
1278,4
1279,2
1280,2
1281,4
1282,3
1283,5
1284,4
1285,1
1286,0
1287,4
1288,1
1289,4
1290,2
1291,1
1292,1
1293,5
1294,4
1295,3
1296,5
1297,3
1298,1
1299,3
1300,4
1301,0
1302,2
1303,4
1304,0
1305,3
1306,0
1307,4
1308,1
1309,1
1310,1
1311,1
1312,5
1313,1
1314,1
1315,0
1316,4
1317,1
1318,0
1319,0
1320,0
1321,4
1322,5
1323,0
1324,0
1325,1
1326,0
1327,0
1328,0
1329,0
1330,1
1331,1
1332,1
1333,5
1334,4
1335,3
1336,1
1337,0
1338,4
1339,4
1340,1
1341,3
1342,1
1343,1
1344,0
1345,4
1346,2
1347,2
1348,1
1349,4
1350,5
1351,1
1352,2
1353,1
1354,3
1355,2
1356,2
1357,0
1358,0
1359,4
1360,5
1361,1
1362,2
1363,3
1364,1
1365,0
1366,3
1367,4
1368,0
1369,5
1370,2
1371,3
1372,0
1373,0
1374,4
1375,0
1376,5
1377,1
1378,5
1379,4
1380,2
1381,3
1382,0
1383,0
1384,4
1385,1
1386,5
1387,0
1388,2
1389,5
1390,3
1391,3
1392,1
1393,2
1394,2
1395,2
1396,0
1397,2
1398,1
1399,3
1400,5
1401,3
1402,5
1403,1
1404,2
1405,2
1406,5
1407,5
1408,4
1409,0
1410,2
1411,4
1412,4
1413,5
1414,0
1415,0
1416,2
1417,5
1418,1
1419,0
1420,1
1421,2
1422,2
1423,2
1424,3
1425,3
1426,3
1427,1
1428,2
1429,2
1430,5
1431,2
1432,1
1433,3
1434,1
1435,4
1436,0
1437,1
1438,0
1439,4
1440,4
1441,3
1442,1
1443,0
1444,0
1445,5
1446,3
1447,1
1448,3
1449,3
1450,1
1451,2
1452,4
1453,5
1454,0
1455,4
1456,2
1457,4
1458,2
1459,1
1460,3
1461,2
1462,1
1463,2
1464,4
1465,0
1466,4
1467,3
1468,4
1469,2
1470,3
1471,4
1472,2
1473,1
1474,3
1475,4
1476,2
1477,4
1478,0
1479,2
1480,5
1481,1
1482,3
1483,2
1484,3
1485,4
1486,1
1487,0
1488,0
1489,4
1490,5
1491,1
1492,0
1493,2
1494,3
1495,1
1496,4
1497,5
1498,4
1499,2
1500,2
1501,2
1502,1
1503,1
1504,3
1505,4
1506,0
1507,4
1508,4
1509,3
1510,1
1511,0
1512,1
1513,2
1514,1
1515,3
1516,1
1517,4
1518,2
1519,0
1520,1
1521,3
1522,4
1523,1
1524,1
1525,2
1526,0
1527,0
1528,4
1529,1
1530,3
1531,4
1532,4
1533,3
1534,4
1535,3
1536,4
1537,2
1538,1
1539,1
1540,4
1541,2
1542,3
1543,3
1544,2
1545,0
1546,3
1547,4
1548,0
1549,1
1550,1
1551,4
1552,2
1553,1
1554,4
1555,0
1556,2
1557,2
1558,2
1559,1
1560,3
1561,4
1562,2
1563,4
1564,3
1565,4
1566,4
1567,0
1568,4
1569,4
1570,4
1571,0
1572,4
1573,1
1574,0
1575,5
1576,0
1577,4
1578,0
1579,0
1580,4
1581,3
1582,5
1583,4
1584,2
1585,2
1586,3
1587,4
1588,0
1589,2
1590,5
1591,3
1592,2
1593,4
1594,1
1595,2
1596,5
1597,4
1598,3
1599,2
1600,0
1601,1
1602,3
1603,5
1604,1
1605,4
1606,0
1607,2
1608,1
1609,1
1610,4
1611,4
1612,3
1613,1
1614,5
1615,0
1616,0
1617,2
1618,4
1619,4
1620,1
1621,1
1622,5
1623,5
1624,4
1625,3
1626,1
1627,1
1628,1
1629,3
1630,3
1631,2
1632,4
1633,3
1634,0
1635,5
1636,1
1637,5
1638,0
1639,0
1640,2
1641,0
1642,2
1643,4
1644,3
1645,0
1646,5
1647,2
1648,2
1649,3
1650,2
1651,3
1652,2
1653,2
1654,4
1655,5
1656,2
1657,5
1658,5
1659,2
1660,2
1661,2
1662,4
1663,2
1664,3
1665,5
1666,0
1667,3
1668,3
1669,0
1670,0
1671,5
1672,2
1673,1
1674,1
1675,5
1676,0
1677,4
1678,3
1679,3
1680,0
1681,3
1682,1
1683,0
1684,2
1685,0
1686,1
1687,4
1688,4
1689,5
1690,2
1691,4
1692,4
1693,1
1694,2
1695,1
1696,2
1697,0
1698,0
1699,3
1700,2
1701,2
1702,1
1703,3
1704,3
1705,2
1706,0
1707,1
1708,3
1709,1
1710,5
1711,5
1712,0
1713,3
1714,2
1715,5
1716,1
1717,1
1718,1
1719,1
1720,4
1721,5
1722,2
1723,3
1724,1
1725,1
1726,4
1727,1
1728,2
1729,1
1730,3
1731,2
1732,0
1733,1
1734,5
1735,4
1736,0
1737,5
1738,1
1739,2
1740,4
1741,5
1742,0
1743,1
1744,4
1745,1
1746,0
1747,2
1748,0
1749,4
1750,1
1751,3
1752,1
1753,1
1754,5
1755,0
1756,1
1757,1
1758,5
1759,3
1760,3
1761,3
1762,3
1763,1
1764,2
1765,2
1766,3
1767,5
1768,3
1769,1
1770,4
1771,5
1772,0
1773,2
1774,1
1775,5
1776,1
1777,1
1778,4
1779,0
1780,4
1781,3
1782,1
1783,0
1784,0
1785,4
1786,1
1787,4
1788,4
1789,0
1790,2
1791,4
1792,1
1793,5
1794,2
1795,0
1796,2
1797,5
1798,0
1799,5
1800,1
1801,0
1802,3
1803,2
1804,0
1805,5
1806,5
1807,1
1808,5
1809,3
1810,1
1811,4
1812,4
1813,3
1814,5
1815,1
1816,3
1817,4
1818,1
1819,3
1820,0
1821,2
1822,1
1823,1
1824,0
1825,0
1826,5
1827,4
1828,0
1829,0
1830,1
1831,0
1832,3
1833,1
1834,3
1835,3
1836,1
1837,1
1838,3
1839,4
1840,5
1841,3
1842,5
1843,1
1844,1
1845,5
1846,0
1847,1
1848,1
1849,2
1850,4
1851,2
1852,3
1853,2
1854,1
1855,0
1856,1
1857,2
1858,3
1859,2
1860,0
1861,1
1862,3
1863,1
1864,1
1865,4
1866,2
1867,5
1868,5
1869,3
1870,2
1871,1
1872,0
1873,3
1874,4
1875,1
1876,4
1877,0
1878,4
1879,4
1880,2
1881,0
1882,4
1883,1
1884,5
1885,3
1886,2
1887,2
1888,1
1889,3
1890,1
1891,4
1892,3
1893,0
1894,2
1895,3
1896,5
1897,0
1898,4
1899,4
1900,4
1901,0
1902,2
1903,5
1904,0
1905,2
1906,2
1907,0
1908,4
1909,3
1910,0
1911,2
1912,1
1913,3
1914,1
1915,1
1916,1
1917,3
1918,0
1919,1
1920,1
1921,2
1922,1
1923,4
1924,1
1925,2
1926,4
1927,1
1928,0
1929,3
1930,2
1931,1
1932,2
1933,1
1934,2
1935,4
1936,2
1937,3
1938,3
1939,2
1940,4
1941,5
1942,4
1943,3
1944,1
1945,2
1946,2
1947,5
1948,3
1949,0
1950,5
1951,2
1952,4
1953,5
1954,5
1955,4
1956,0
1957,5
1958,4
1959,0
1960,2
1961,2
1962,1
1963,3
1964,3
1965,2
1966,1
1967,1
1968,0
1969,2
1970,2
1971,0
1972,5
1973,0
1974,3
1975,4
1976,0
1977,0
1978,0
1979,2
1980,3
1981,0
1982,1
1983,0
1984,4
1985,1
1986,0
1987,3
1988,4
1989,4
1990,4
1991,2
1992,1
1993,0
1994,2
1995,3
1996,3
1997,4
1998,3
1999,2
